1,Swans,swans
2,Seaducks,seaducks
3,Cranes,cranes
4,Woodcock,woodcock
5,Doves,doves
6,Pigeons,pigeons
7,Raptors,raptors
8,Eagles,eagles
9,Seabirds,seabirds
10,Shorebirds,shorebirds
11,Landbirds,landbirds
12,Marshbirds,marshbirds
13,Waterbirds,waterbirds
14,Habitat,habitat
15,Aerial survey,aerial-survey
16,Vessel survey,vessel-survey
17,Ground survey,ground-survey
18,Telemetry,telemetry
19,Banding,banding
20,Mark-resight,mark-resight
21,Tag-movement,tag-movement
22,Spatial polygons,spatial-polygons
